experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,mdd,total_pnl,risk_adjusted_return,take_profit
10:3010:31_L1SL12_L2SL24_L3SL31_TP60,10:30-10:31,12,24,31,-513.0,2212.0,4.311890838206628,60
10:3010:31_L1SL16_L2SL22_L3SL31_TP65,10:30-10:31,16,22,31,-567.0,2270.0,4.00352733686067,65
11:3011:32_L1SL16_L2SL26_L3SL32_TP55,11:30-11:32,16,26,32,-676.0,1537.0,2.2736686390532546,55
11:3011:31_L1SL15_L2SL22_L3SL32_TP55,11:30-11:31,15,22,32,-566.0,1230.0,2.1731448763250882,55
11:3011:32_L1SL14_L2SL28_L3SL30_TP70,11:30-11:32,14,28,30,-590.0,1724.0,2.922033898305085,70
12:3012:31_L1SL16_L2SL25_L3SL32_TP65,12:30-12:31,16,25,32,-504.0,1728.0,3.4285714285714284,65
10:3010:31_L1SL12_L2SL24_L3SL30_TP65,10:30-10:31,12,24,30,-502.0,2176.0,4.334661354581673,65
11:3011:32_L1SL14_L2SL28_L3SL32_TP50,11:30-11:32,14,28,32,-630.0,1608.0,2.552380952380952,50
12:3012:31_L1SL14_L2SL24_L3SL31_TP70,12:30-12:31,14,24,31,-431.0,1823.0,4.229698375870069,70
10:3010:31_L1SL15_L2SL28_L3SL32_TP50,10:30-10:31,15,28,32,-581.0,2076.0,3.5731497418244405,50
12:3012:31_L1SL12_L2SL22_L3SL28_TP70,12:30-12:31,12,22,28,-414.0,1687.0,4.07487922705314,70
11:3011:31_L1SL18_L2SL26_L3SL30_TP50,11:30-11:31,18,26,30,-594.0,1085.0,1.8265993265993266,50
11:3011:32_L1SL16_L2SL26_L3SL29_TP70,11:30-11:32,16,26,29,-616.0,1616.0,2.6233766233766236,70
11:3011:32_L1SL16_L2SL22_L3SL30_TP50,11:30-11:32,16,22,30,-572.0,1326.0,2.3181818181818183,50
12:3012:31_L1SL16_L2SL24_L3SL32_TP70,12:30-12:31,16,24,32,-487.0,1709.0,3.509240246406571,70
12:3012:31_L1SL15_L2SL26_L3SL29_TP60,12:30-12:31,15,26,29,-507.0,1705.0,3.3629191321499015,60
11:3011:32_L1SL16_L2SL26_L3SL28_TP55,11:30-11:32,16,26,28,-643.0,1535.0,2.3872472783825818,55
