實驗ID,時間區間,空方損益,空方MDD估算,空方勝率估算,空方交易次數,參數,備註
3080,11:45-12:00,-323.2,323.2,44.4%,99,15(15%)/35(10%)/40(20%),MDD/勝率為估算值
1155,11:15-11:30,-324.3,324.3,52.6%,53,15(15%)/35(20%)/40(20%),MDD/勝率為估算值
4635,10:45-11:00,-325.2,325.2,46.4%,70,25(10%)/40(15%)/50(20%),MDD/勝率為估算值
1929,11:15-11:30,-325.4,325.4,49.8%,53,25(20%)/40(15%)/40(20%),MDD/勝率為估算值
1680,11:15-11:30,-325.5,325.5,52.6%,53,25(10%)/35(10%)/45(20%),MDD/勝率為估算值
3948,10:45-11:00,-326.0,326.0,45.7%,70,15(10%)/35(10%)/45(20%),MDD/勝率為估算值
1908,11:15-11:30,-326.1,326.1,52.6%,53,25(20%)/35(15%)/50(20%),MDD/勝率為估算值
3113,11:45-12:00,-326.9,326.9,42.2%,99,15(15%)/40(10%)/50(20%),MDD/勝率為估算值
4563,10:45-11:00,-327.0,327.0,55.0%,70,25(10%)/25(20%)/50(20%),MDD/勝率為估算值
4250,10:45-11:00,-327.2,327.2,50.1%,101,20(10%)/30(15%)/40(20%),MDD/勝率為估算值
1452,11:15-11:30,-327.3,327.3,54.5%,53,20(15%)/30(20%)/40(20%),MDD/勝率為估算值
1269,11:15-11:30,-327.4,327.4,49.8%,53,15(20%)/35(20%)/50(20%),MDD/勝率為估算值
1686,11:15-11:30,-327.5,327.5,53.6%,53,25(10%)/35(15%)/40(20%),MDD/勝率為估算值
1620,11:15-11:30,-327.6,327.6,47.0%,53,20(20%)/40(20%)/50(20%),MDD/勝率為估算值
4560,10:45-11:00,-327.8,327.8,55.0%,70,25(10%)/25(20%)/45(20%),MDD/勝率為估算值
1446,11:15-11:30,-327.9,327.9,43.8%,53,20(15%)/30(15%)/45(20%),MDD/勝率為估算值
3912,10:45-11:00,-328.7,328.7,47.9%,70,15(10%)/25(20%)/45(20%),MDD/勝率為估算值
1010,11:15-11:30,-328.8,328.8,47.0%,89,15(10%)/30(15%)/40(20%),MDD/勝率為估算值
1013,11:15-11:30,-329.8,329.8,45.7%,89,15(10%)/30(15%)/45(20%),MDD/勝率為估算值
