實驗ID,時間區間,多方損益,多方MDD估算,多方勝率估算,多方交易次數,參數,備註
832,08:46-08:47,1807.4,746.0,68.5%,114,25(10%)/40(20%)/40(20%),MDD/勝率為估算值
187,08:46-08:47,1789.0,624.0,67.5%,114,15(15%)/40(15%)/40(20%),MDD/勝率為估算值
2047,09:30-09:32,1786.7,586.0,59.8%,114,25(15%)/35(20%)/40(20%),MDD/勝率為估算值
394,08:46-08:47,1783.1,773.0,69.5%,114,20(10%)/35(15%)/40(20%),MDD/勝率為估算值
1558,09:30-09:32,1766.8,546.0,56.0%,114,20(10%)/40(10%)/40(20%),MDD/勝率為估算值
1939,09:30-09:32,1761.6,798.0,53.5%,113,25(10%)/40(10%)/45(20%),MDD/勝率為估算值
1966,09:30-09:32,1754.7,659.0,56.0%,114,25(10%)/40(20%)/40(20%),MDD/勝率為估算值
1899,09:30-09:32,1746.8,1321.6,54.1%,47,25(10%)/35(10%)/50(20%),MDD/勝率為估算值
1909,09:30-09:32,1743.2,715.0,57.9%,114,25(10%)/35(15%)/45(20%),MDD/勝率為估算值
883,08:46-08:47,1741.2,724.0,68.5%,114,25(15%)/35(10%)/40(20%),MDD/勝率為估算值
2020,09:30-09:32,1741.0,706.0,54.0%,114,25(15%)/35(10%)/45(20%),MDD/勝率為估算值
31,08:46-08:47,1735.8,618.0,69.5%,114,15(10%)/35(20%)/40(20%),MDD/勝率為估算值
1639,09:30-09:32,1734.2,545.0,56.9%,114,20(15%)/35(10%)/40(20%),MDD/勝率為估算值
691,08:46-08:47,1728.7,786.0,68.5%,114,20(20%)/40(15%)/40(20%),MDD/勝率為估算值
313,08:46-08:47,1728.3,623.0,67.5%,114,15(20%)/40(15%)/40(20%),MDD/勝率為估算值
2203,09:30-09:32,1727.7,649.0,56.0%,114,25(20%)/40(15%)/40(20%),MDD/勝率為估算值
454,08:46-08:47,1724.7,798.0,68.5%,114,20(10%)/40(20%)/40(20%),MDD/勝率為估算值
787,08:46-08:47,1708.4,751.0,69.5%,114,25(10%)/35(20%)/40(20%),MDD/勝率為估算值
1986,09:30-09:32,1706.8,3667.0,48.1%,49,25(10%)/45(10%)/50(20%),MDD/勝率為估算值
1684,09:30-09:32,1705.8,544.0,56.0%,114,20(15%)/40(10%)/40(20%),MDD/勝率為估算值
1528,09:30-09:32,1697.9,551.0,58.9%,114,20(10%)/35(15%)/40(20%),MDD/勝率為估算值
958,08:46-08:47,1694.9,756.0,68.5%,114,25(15%)/40(20%)/40(20%),MDD/勝率為估算值
1897,09:30-09:32,1691.5,868.0,54.0%,110,25(10%)/35(10%)/50(20%),MDD/勝率為估算值
2025,09:30-09:32,1687.6,1409.5,52.4%,49,25(15%)/35(10%)/50(20%),MDD/勝率為估算值
1905,09:30-09:32,1684.8,1029.0,53.2%,47,25(10%)/35(10%)/60(20%),MDD/勝率為估算值
1180,09:30-09:32,1683.2,479.0,56.0%,114,15(10%)/40(10%)/40(20%),MDD/勝率為估算值
505,08:46-08:47,1681.8,762.0,68.5%,114,20(15%)/35(10%)/40(20%),MDD/勝率為估算值
2173,09:30-09:32,1681.8,587.0,58.5%,111,25(20%)/35(20%)/40(20%),MDD/勝率為估算值
1914,09:30-09:32,1677.9,1468.7,55.9%,49,25(10%)/35(15%)/50(20%),MDD/勝率為估算值
1069,08:46-08:47,1677.8,741.0,68.5%,114,25(20%)/40(15%)/40(20%),MDD/勝率為估算值
2065,09:30-09:32,1673.5,798.0,53.1%,114,25(15%)/40(10%)/45(20%),MDD/勝率為估算值
1903,09:30-09:32,1671.1,831.0,52.5%,109,25(10%)/35(10%)/60(20%),MDD/勝率為估算值
1981,09:30-09:32,1665.7,968.0,52.1%,114,25(10%)/45(10%)/45(20%),MDD/勝率為估算值
2092,09:30-09:32,1663.8,659.0,56.0%,114,25(15%)/40(20%)/40(20%),MDD/勝率為估算值
1765,09:30-09:32,1662.8,545.0,56.9%,114,20(20%)/35(10%)/40(20%),MDD/勝率為估算值
127,08:46-08:47,1658.2,603.0,67.5%,114,15(15%)/35(10%)/40(20%),MDD/勝率為估算值
2112,09:30-09:32,1658.0,3949.8,48.1%,49,25(15%)/45(10%)/50(20%),MDD/勝率為估算值
1896,09:30-09:32,1651.6,1262.9,54.6%,47,25(10%)/35(10%)/45(20%),MDD/勝率為估算值
580,08:46-08:47,1645.8,804.0,68.5%,114,20(15%)/40(20%)/40(20%),MDD/勝率為估算值
1810,09:30-09:32,1644.7,544.0,56.0%,114,20(20%)/40(10%)/40(20%),MDD/勝率為估算值
1306,09:30-09:32,1640.9,475.0,56.0%,114,15(15%)/40(10%)/40(20%),MDD/勝率為估算值
2146,09:30-09:32,1639.0,713.0,54.0%,114,25(20%)/35(10%)/45(20%),MDD/勝率為估算值
409,08:46-08:47,1634.5,794.0,69.5%,114,20(10%)/35(20%)/40(20%),MDD/勝率為估算值
202,08:46-08:47,1634.1,634.0,67.5%,114,15(15%)/40(20%)/40(20%),MDD/勝率為估算值
1230,09:30-09:32,1632.2,1506.9,47.3%,49,15(10%)/45(10%)/50(20%),MDD/勝率為估算值
2031,09:30-09:32,1628.5,1094.6,51.6%,49,25(15%)/35(10%)/60(20%),MDD/勝率為估算值
2151,09:30-09:32,1628.4,1766.9,51.6%,49,25(20%)/35(10%)/50(20%),MDD/勝率為估算值
1992,09:30-09:32,1625.0,2824.0,47.3%,49,25(10%)/45(10%)/60(20%),MDD/勝率為估算值
1998,09:30-09:32,1623.0,4654.6,48.1%,49,25(10%)/45(15%)/50(20%),MDD/勝率為估算值
1954,09:30-09:32,1620.0,806.0,54.0%,114,25(10%)/40(15%)/45(20%),MDD/勝率為估算值
1920,09:30-09:32,1619.6,1141.6,55.0%,49,25(10%)/35(15%)/60(20%),MDD/勝率為估算值
2040,09:30-09:32,1618.7,1574.4,53.2%,47,25(15%)/35(15%)/50(20%),MDD/勝率為估算值
1944,09:30-09:32,1617.7,2538.7,51.1%,49,25(10%)/40(10%)/50(20%),MDD/勝率為估算值
1573,09:30-09:32,1617.0,550.0,56.0%,114,20(10%)/40(15%)/40(20%),MDD/勝率為估算值
1983,09:30-09:32,1611.6,2961.5,49.0%,49,25(10%)/45(10%)/45(20%),MDD/勝率為估算值
1356,09:30-09:32,1609.8,1520.6,47.3%,49,15(15%)/45(10%)/50(20%),MDD/勝率為估算值
2238,09:30-09:32,1609.2,5535.6,47.3%,49,25(20%)/45(10%)/50(20%),MDD/勝率為估算值
1929,09:30-09:32,1609.0,1748.3,55.0%,49,25(10%)/35(20%)/50(20%),MDD/勝率為估算值
631,08:46-08:47,1602.9,767.0,68.5%,114,20(20%)/35(10%)/40(20%),MDD/勝率為估算值
253,08:46-08:47,1597.5,602.0,67.5%,114,15(20%)/35(10%)/40(20%),MDD/勝率為估算值
1893,09:30-09:32,1597.0,1347.6,55.0%,47,25(10%)/35(10%)/40(20%),MDD/勝率為估算值
1654,09:30-09:32,1595.8,549.0,57.9%,112,20(15%)/35(15%)/40(20%),MDD/勝率為估算值
808,08:46-08:47,1594.6,811.0,63.3%,113,25(10%)/40(10%)/50(20%),MDD/勝率為估算值
2022,09:30-09:32,1592.4,1347.8,53.3%,49,25(15%)/35(10%)/45(20%),MDD/勝率為估算值
1482,09:30-09:32,1587.3,1896.7,46.4%,49,15(20%)/45(10%)/50(20%),MDD/勝率為估算值
52,08:46-08:47,1585.8,582.0,62.7%,114,15(10%)/40(10%)/50(20%),MDD/勝率為估算值
2191,09:30-09:32,1585.5,802.0,53.1%,114,25(20%)/40(10%)/45(20%),MDD/勝率為估算值
2107,09:30-09:32,1584.7,963.0,52.1%,114,25(15%)/45(10%)/45(20%),MDD/勝率為估算值
1911,09:30-09:32,1582.7,1416.6,55.9%,49,25(10%)/35(15%)/45(20%),MDD/勝率為估算值
898,08:46-08:47,1582.5,741.0,68.5%,114,25(15%)/35(15%)/40(20%),MDD/勝率為估算值
1942,09:30-09:32,1581.2,963.0,51.6%,113,25(10%)/40(10%)/50(20%),MDD/勝率為估算值
1924,09:30-09:32,1580.9,750.0,57.9%,114,25(10%)/35(20%)/45(20%),MDD/勝率為估算值
2118,09:30-09:32,1579.1,2998.3,47.3%,49,25(15%)/45(10%)/60(20%),MDD/勝率為估算值
1900,09:30-09:32,1577.5,861.0,53.0%,110,25(10%)/35(10%)/55(20%),MDD/勝率為估算值
2124,09:30-09:32,1574.2,5156.1,48.1%,49,25(15%)/45(15%)/50(20%),MDD/勝率為估算值
328,08:46-08:47,1573.4,633.0,67.5%,114,15(20%)/40(20%)/40(20%),MDD/勝率為估算值
2218,09:30-09:32,1573.0,663.0,56.0%,114,25(20%)/40(20%)/40(20%),MDD/勝率為估算值
1912,09:30-09:32,1572.2,873.0,56.0%,114,25(10%)/35(15%)/50(20%),MDD/勝率為估算值
2157,09:30-09:32,1572.2,1373.7,49.8%,49,25(20%)/35(10%)/60(20%),MDD/勝率為估算值
2035,09:30-09:32,1569.8,724.0,56.0%,110,25(15%)/35(15%)/45(20%),MDD/勝率為估算值
2070,09:30-09:32,1568.9,2713.9,50.7%,49,25(15%)/40(10%)/50(20%),MDD/勝率為估算值
1543,09:30-09:32,1566.9,555.0,58.9%,114,20(10%)/35(20%)/40(20%),MDD/勝率為估算值
706,08:46-08:47,1566.8,809.0,68.5%,114,20(20%)/40(20%)/40(20%),MDD/勝率為估算值
2023,09:30-09:32,1566.7,868.0,52.1%,114,25(15%)/35(10%)/50(20%),MDD/勝率為估算值
1236,09:30-09:32,1564.8,1147.7,46.4%,49,15(10%)/45(10%)/60(20%),MDD/勝率為估算值
1902,09:30-09:32,1564.8,1185.2,53.2%,47,25(10%)/35(10%)/55(20%),MDD/勝率為估算值
2046,09:30-09:32,1563.3,1218.3,51.5%,47,25(15%)/35(15%)/60(20%),MDD/勝率為估算值
2109,09:30-09:32,1562.8,3185.1,49.0%,49,25(15%)/45(10%)/45(20%),MDD/勝率為估算值
1918,09:30-09:32,1559.5,836.0,55.0%,114,25(10%)/35(15%)/60(20%),MDD/勝率為估算值
2166,09:30-09:32,1559.5,2117.5,50.7%,49,25(20%)/35(15%)/50(20%),MDD/勝率為估算值
1699,09:30-09:32,1555.9,548.0,56.0%,114,20(15%)/40(15%)/40(20%),MDD/勝率為估算值
1935,09:30-09:32,1554.4,1347.6,53.3%,49,25(10%)/35(20%)/60(20%),MDD/勝率為估算值
1948,09:30-09:32,1551.8,926.0,50.1%,112,25(10%)/40(10%)/60(20%),MDD/勝率為估算值
1242,09:30-09:32,1550.8,1771.4,47.3%,49,15(10%)/45(15%)/50(20%),MDD/勝率為估算值
1009,08:46-08:47,1550.2,732.0,68.5%,114,25(20%)/35(10%)/40(20%),MDD/勝率為估算值
2055,09:30-09:32,1549.8,1890.8,55.0%,49,25(15%)/35(20%)/50(20%),MDD/勝率為估算值
2029,09:30-09:32,1549.2,831.0,50.2%,114,25(15%)/35(10%)/60(20%),MDD/勝率為估算值
2010,09:30-09:32,1547.2,6231.7,48.1%,49,25(10%)/45(20%)/50(20%),MDD/勝率為估算值
1950,09:30-09:32,1546.7,1993.4,50.2%,49,25(10%)/40(10%)/60(20%),MDD/勝率為估算值
2004,09:30-09:32,1546.0,3473.1,47.3%,49,25(10%)/45(15%)/60(20%),MDD/勝率為估算值
1362,09:30-09:32,1544.5,1153.7,46.4%,49,15(15%)/45(10%)/60(20%),MDD/勝率為估算值
1188,09:30-09:32,1543.1,1115.0,50.2%,49,15(10%)/40(10%)/50(20%),MDD/勝率為估算值
1959,09:30-09:32,1542.2,2970.7,51.6%,49,25(10%)/40(15%)/50(20%),MDD/勝率為估算值
1195,09:30-09:32,1539.8,483.0,56.0%,114,15(10%)/40(15%)/40(20%),MDD/勝率為估算值
1432,09:30-09:32,1538.6,475.0,56.0%,114,15(20%)/40(10%)/40(20%),MDD/勝率為估算值
2019,09:30-09:32,1537.8,1445.0,54.1%,49,25(15%)/35(10%)/40(20%),MDD/勝率為估算值
1227,09:30-09:32,1537.0,1180.3,48.1%,49,15(10%)/45(10%)/45(20%),MDD/勝率為估算值
55,08:46-08:47,1534.2,720.0,61.3%,113,15(10%)/40(10%)/55(20%),MDD/勝率為估算值
2148,09:30-09:32,1533.2,1698.0,52.4%,49,25(20%)/35(10%)/45(20%),MDD/勝率為估算值
2244,09:30-09:32,1533.2,4044.7,46.4%,49,25(20%)/45(10%)/60(20%),MDD/勝率為估算值
520,08:46-08:47,1532.6,780.0,68.5%,114,20(15%)/35(15%)/40(20%),MDD/勝率為估算值
1521,09:30-09:32,1531.7,1088.7,53.2%,47,20(10%)/35(10%)/50(20%),MDD/勝率為估算值
1368,09:30-09:32,1528.3,1794.2,47.3%,49,15(15%)/45(15%)/50(20%),MDD/勝率為估算值
1908,09:30-09:32,1528.1,1532.5,55.9%,49,25(10%)/35(15%)/40(20%),MDD/勝率為估算值
1995,09:30-09:32,1527.8,3711.1,49.0%,49,25(10%)/45(15%)/45(20%),MDD/勝率為估算值
2250,09:30-09:32,1525.4,8003.8,47.3%,49,25(20%)/45(15%)/50(20%),MDD/勝率為估算值
1780,09:30-09:32,1524.3,549.0,56.9%,114,20(20%)/35(15%)/40(20%),MDD/勝率為估算值
1488,09:30-09:32,1524.1,1438.5,45.5%,49,15(20%)/45(10%)/60(20%),MDD/勝率為估算值
2037,09:30-09:32,1523.5,1520.3,54.6%,47,25(15%)/35(15%)/45(20%),MDD/勝率為估算值
1941,09:30-09:32,1522.5,2463.7,51.6%,49,25(10%)/40(10%)/45(20%),MDD/勝率為估算值
1314,09:30-09:32,1520.7,1140.6,49.8%,49,15(15%)/40(10%)/50(20%),MDD/勝率為估算值
2196,09:30-09:32,1520.1,3529.1,49.8%,49,25(20%)/40(10%)/50(20%),MDD/勝率為估算值
805,08:46-08:47,1520.0,673.0,64.2%,113,25(10%)/40(10%)/45(20%),MDD/勝率為估算值
811,08:46-08:47,1517.8,823.0,61.9%,112,25(10%)/40(10%)/55(20%),MDD/勝率為估算值
142,08:46-08:47,1515.8,610.0,67.5%,114,15(15%)/35(15%)/40(20%),MDD/勝率為估算值
1516,09:30-09:32,1514.7,614.0,55.5%,111,20(10%)/35(10%)/45(20%),MDD/勝率為估算值
1353,09:30-09:32,1514.5,1182.5,48.1%,49,15(15%)/45(10%)/45(20%),MDD/勝率為估算值
2235,09:30-09:32,1514.0,4392.5,48.1%,49,25(20%)/45(10%)/45(20%),MDD/勝率為估算值
1926,09:30-09:32,1513.8,1610.8,55.9%,49,25(10%)/35(20%)/45(20%),MDD/勝率為估算值
49,08:46-08:47,1511.2,599.0,63.7%,114,15(10%)/40(10%)/45(20%),MDD/勝率為估算值
1993,09:30-09:32,1510.4,980.0,52.1%,114,25(10%)/45(15%)/45(20%),MDD/勝率為估算值
2028,09:30-09:32,1508.5,1263.9,51.6%,49,25(15%)/35(10%)/55(20%),MDD/勝率為估算值
1084,08:46-08:47,1508.0,764.0,68.5%,114,25(20%)/40(20%)/40(20%),MDD/勝率為估算值
2172,09:30-09:32,1507.0,1621.8,49.0%,49,25(20%)/35(15%)/60(20%),MDD/勝率為估算值
1494,09:30-09:32,1505.8,2269.5,46.4%,49,15(20%)/45(15%)/50(20%),MDD/勝率為估算值
1989,09:30-09:32,1505.0,3535.0,47.3%,49,25(10%)/45(10%)/55(20%),MDD/勝率為估算值
2233,09:30-09:32,1503.6,963.0,52.1%,114,25(20%)/45(10%)/45(20%),MDD/勝率為估算值
2076,09:30-09:32,1500.8,2109.8,49.8%,49,25(15%)/40(10%)/60(20%),MDD/勝率為估算值
2130,09:30-09:32,1500.1,3758.6,47.3%,49,25(15%)/45(15%)/60(20%),MDD/勝率為估算值
1917,09:30-09:32,1499.6,1318.6,55.0%,49,25(10%)/35(15%)/55(20%),MDD/勝率為估算值
2068,09:30-09:32,1499.2,960.0,51.1%,114,25(15%)/40(10%)/50(20%),MDD/勝率為估算值
2136,09:30-09:32,1498.4,7245.7,48.1%,49,25(15%)/45(20%)/50(20%),MDD/勝率為估算值
1440,09:30-09:32,1498.2,1404.1,49.0%,49,15(20%)/40(10%)/50(20%),MDD/勝率為估算值
2061,09:30-09:32,1498.1,1446.5,53.3%,49,25(15%)/35(20%)/60(20%),MDD/勝率為估算值
1321,09:30-09:32,1497.5,479.0,56.0%,114,15(15%)/40(15%)/40(20%),MDD/勝率為估算值
1825,09:30-09:32,1494.8,548.0,56.0%,114,20(20%)/40(15%)/40(20%),MDD/勝率為估算值
1647,09:30-09:32,1494.5,1150.1,51.6%,49,20(15%)/35(10%)/50(20%),MDD/勝率為估算值
934,08:46-08:47,1493.9,810.0,62.7%,114,25(15%)/40(10%)/50(20%),MDD/勝率為估算值
2085,09:30-09:32,1493.5,3223.2,50.2%,49,25(15%)/40(15%)/50(20%),MDD/勝率為估算值
1479,09:30-09:32,1492.1,1462.2,47.3%,49,15(20%)/45(10%)/45(20%),MDD/勝率為估算值
1608,09:30-09:32,1491.7,3627.8,47.3%,49,20(10%)/45(10%)/50(20%),MDD/勝率為估算值
2080,09:30-09:32,1491.3,806.0,53.5%,113,25(15%)/40(15%)/45(20%),MDD/勝率為估算值
2181,09:30-09:32,1490.6,2444.5,52.3%,47,25(20%)/35(20%)/50(20%),MDD/勝率為估算值
1248,09:30-09:32,1488.2,1332.9,46.4%,49,15(10%)/45(15%)/60(20%),MDD/勝率為估算值
1194,09:30-09:32,1486.5,868.4,49.4%,49,15(10%)/40(10%)/60(20%),MDD/勝率為估算值
1984,09:30-09:32,1485.3,1133.0,50.2%,114,25(10%)/45(10%)/50(20%),MDD/勝率為估算值
1527,09:30-09:32,1484.1,822.2,52.3%,47,20(10%)/35(10%)/60(20%),MDD/勝率為估算值
1135,09:30-09:32,1482.5,480.0,56.0%,114,15(10%)/35(10%)/40(20%),MDD/勝率為估算值
430,08:46-08:47,1479.2,706.0,62.7%,114,20(10%)/40(10%)/50(20%),MDD/勝率為估算值
2121,09:30-09:32,1479.0,4091.1,49.0%,49,25(15%)/45(15%)/45(20%),MDD/勝率為估算值
2145,09:30-09:32,1478.6,1843.2,53.3%,49,25(20%)/35(10%)/40(20%),MDD/勝率為估算值
1254,09:30-09:32,1477.3,2102.5,47.3%,49,15(10%)/45(20%)/50(20%),MDD/勝率為估算值
1965,09:30-09:32,1475.5,2295.9,50.7%,49,25(10%)/40(15%)/60(20%),MDD/勝率為估算值
2016,09:30-09:32,1475.0,4411.0,47.3%,49,25(10%)/45(20%)/60(20%),MDD/勝率為估算值
2067,09:30-09:32,1473.7,2639.9,51.6%,49,25(15%)/40(10%)/45(20%),MDD/勝率為估算值
2074,09:30-09:32,1472.7,923.0,49.2%,114,25(15%)/40(10%)/60(20%),MDD/勝率為估算值
2149,09:30-09:32,1470.6,872.0,52.1%,114,25(20%)/35(10%)/50(20%),MDD/勝率為估算值
2161,09:30-09:32,1470.5,744.0,54.0%,114,25(20%)/35(15%)/45(20%),MDD/勝率為估算值
1203,09:30-09:32,1470.0,1256.5,50.7%,49,15(10%)/40(15%)/50(20%),MDD/勝率為估算值
1561,09:30-09:32,1469.2,682.0,53.5%,113,20(10%)/40(10%)/45(20%),MDD/勝率為估算值
2034,09:30-09:32,1468.9,1655.5,55.0%,47,25(15%)/35(15%)/40(20%),MDD/勝率為估算值
1374,09:30-09:32,1467.8,1343.5,46.4%,49,15(15%)/45(15%)/60(20%),MDD/勝率為估算值
7,08:46-08:47,1467.7,569.0,63.7%,114,15(10%)/35(10%)/50(20%),MDD/勝率為估算值
1320,09:30-09:32,1466.2,872.9,49.0%,49,15(15%)/40(10%)/60(20%),MDD/勝率為估算值
1734,09:30-09:32,1464.8,3827.4,47.3%,49,20(15%)/45(10%)/50(20%),MDD/勝率為估算值
2163,09:30-09:32,1464.3,1935.0,52.4%,49,25(20%)/35(15%)/45(20%),MDD/勝率為估算值
1974,09:30-09:32,1463.2,3976.6,50.7%,49,25(10%)/40(20%)/50(20%),MDD/勝率為估算值
1536,09:30-09:32,1462.8,1225.9,55.0%,49,20(10%)/35(15%)/50(20%),MDD/勝率為估算值
1669,09:30-09:32,1462.8,553.0,58.9%,114,20(15%)/35(20%)/40(20%),MDD/勝率為估算值
1588,09:30-09:32,1462.3,554.0,56.0%,114,20(10%)/40(20%)/40(20%),MDD/勝率為估算值
1915,09:30-09:32,1461.9,866.0,55.0%,114,25(10%)/35(15%)/55(20%),MDD/勝率為估算值
2269,10:00-10:02,1461.0,775.0,58.5%,109,15(10%)/35(10%)/40(20%),MDD/勝率為估算值
1923,09:30-09:32,1459.2,1771.5,55.9%,49,25(10%)/35(20%)/40(20%),MDD/勝率為估算值
2115,09:30-09:32,1459.1,3831.7,47.3%,49,25(15%)/45(10%)/55(20%),MDD/勝率為估算值
1183,09:30-09:32,1458.8,529.0,54.0%,114,15(10%)/40(10%)/45(20%),MDD/勝率為估算值
1945,09:30-09:32,1458.2,956.0,50.6%,113,25(10%)/40(10%)/55(20%),MDD/勝率為估算值
1773,09:30-09:32,1457.2,1466.2,50.7%,49,20(20%)/35(10%)/50(20%),MDD/勝率為估算值
2155,09:30-09:32,1456.0,835.0,49.2%,114,25(20%)/35(10%)/60(20%),MDD/勝率為估算值
1239,09:30-09:32,1455.5,1341.8,48.1%,49,15(10%)/45(15%)/45(20%),MDD/勝率為估算值
2026,09:30-09:32,1455.5,861.0,51.1%,114,25(15%)/35(10%)/55(20%),MDD/勝率為估算值
268,08:46-08:47,1455.0,609.0,67.5%,114,15(20%)/35(15%)/40(20%),MDD/勝率為估算值
2202,09:30-09:32,1454.9,2688.5,49.0%,49,25(20%)/40(10%)/60(20%),MDD/勝率為估算值
1380,09:30-09:32,1454.8,2140.7,47.3%,49,15(15%)/45(20%)/50(20%),MDD/勝率為估算值
2052,09:30-09:32,1454.6,1741.9,55.9%,49,25(15%)/35(20%)/45(20%),MDD/勝率為估算值
2256,09:30-09:32,1454.2,5404.5,46.4%,49,25(20%)/45(15%)/60(20%),MDD/勝率為估算值
646,08:46-08:47,1453.7,785.0,68.5%,114,20(20%)/35(15%)/40(20%),MDD/勝率為估算值
2154,09:30-09:32,1452.2,1594.9,49.8%,49,25(20%)/35(10%)/55(20%),MDD/勝率為估算值
2007,09:30-09:32,1452.0,4862.8,49.0%,49,25(10%)/45(20%)/45(20%),MDD/勝率為估算值
2262,09:30-09:32,1449.6,21228.0,46.4%,49,25(20%)/45(20%)/50(20%),MDD/勝率為估算值
1653,09:30-09:32,1449.0,866.8,50.7%,49,20(15%)/35(10%)/60(20%),MDD/勝率為估算值
1957,09:30-09:32,1449.0,967.0,52.1%,114,25(10%)/40(15%)/50(20%),MDD/勝率為估算值
2050,09:30-09:32,1449.0,759.0,57.9%,114,25(15%)/35(20%)/45(20%),MDD/勝率為估算值
1185,09:30-09:32,1447.9,1014.4,50.7%,49,15(10%)/40(10%)/45(20%),MDD/勝率為估算值
1329,09:30-09:32,1447.5,1289.2,49.4%,49,15(15%)/40(15%)/50(20%),MDD/勝率為估算值
1500,09:30-09:32,1447.5,1685.7,45.5%,49,15(20%)/45(15%)/60(20%),MDD/勝率為估算值
1956,09:30-09:32,1447.0,2924.4,51.6%,49,25(10%)/40(15%)/45(20%),MDD/勝率為估算值
1446,09:30-09:32,1445.8,1079.3,48.1%,49,15(20%)/40(10%)/60(20%),MDD/勝率為估算值
1233,09:30-09:32,1444.8,1389.0,46.4%,49,15(10%)/45(10%)/55(20%),MDD/勝率為估算值
2211,09:30-09:32,1444.7,4894.8,48.1%,49,25(20%)/40(15%)/50(20%),MDD/勝率為估算值
2043,09:30-09:32,1443.3,1413.3,51.5%,47,25(15%)/35(15%)/55(20%),MDD/勝率為估算值
2187,09:30-09:32,1441.8,1846.3,50.6%,47,25(20%)/35(20%)/60(20%),MDD/勝率為估算值
67,08:46-08:47,1441.7,590.0,62.7%,114,15(10%)/40(15%)/50(20%),MDD/勝率為估算值
1938,09:30-09:32,1438.5,2734.1,51.6%,49,25(10%)/40(10%)/40(20%),MDD/勝率為估算值
