date,range_high,range_low,range_size,range_midpoint,has_long_entry,entry_time,entry_price,breakout_strength,total_pnl,lot1_pnl,lot2_pnl,lot3_pnl,lot1_exit_type,lot2_exit_type,lot3_exit_type,lot1_exit_time,lot2_exit_time,lot3_exit_time,lot1_exit_price,lot2_exit_price,lot3_exit_price,max_favorable,max_adverse,trade_duration_minutes
2024-08-27,22125.0,22084.0,41.0,22104.5,True,09:54:00,22145.0,20.0,-183,-61,-61,-61,initial_stop_loss,initial_stop_loss,initial_stop_loss,10:03:00,10:03:00,10:03:00,22084.0,22084.0,22084.0,18.0,-70.0,9.0
2024-08-28,22186.0,22103.0,83.0,22144.5,True,09:00:00,22188.0,2.0,-255,-85,-85,-85,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:37:00,09:37:00,09:37:00,22103.0,22103.0,22103.0,15.0,-89.0,37.0
2024-08-29,21967.0,21885.0,82.0,21926.0,True,08:49:00,21970.0,3.0,591,197,197,197,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,22167.0,22167.0,22167.0,268.0,-19.0,296.0
2024-08-30,22338.0,22287.0,51.0,22312.5,True,12:50:00,22340.0,2.0,-159,-53,-53,-53,initial_stop_loss,initial_stop_loss,initial_stop_loss,13:26:00,13:26:00,13:26:00,22287.0,22287.0,22287.0,16.0,-55.0,36.0
2024-09-02,22348.0,22311.0,37.0,22329.5,True,08:54:00,22349.0,1.0,-114,-38,-38,-38,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:45:00,09:45:00,09:45:00,22311.0,22311.0,22311.0,81.0,-42.0,51.0
2024-09-03,22218.0,22201.0,17.0,22209.5,True,09:00:00,22222.0,4.0,-63,-21,-21,-21,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:06:00,09:06:00,09:06:00,22201.0,22201.0,22201.0,4.0,-35.0,6.0
2024-09-04,21277.0,21165.0,112.0,21221.0,True,09:35:00,21296.0,19.0,-393,-131,-131,-131,initial_stop_loss,initial_stop_loss,initial_stop_loss,11:24:00,11:24:00,11:24:00,21165.0,21165.0,21165.0,44.0,-145.0,109.0
2024-09-05,21315.0,21272.0,43.0,21293.5,True,09:16:00,21317.0,2.0,-135,-45,-45,-45,initial_stop_loss,initial_stop_loss,initial_stop_loss,11:56:00,11:56:00,11:56:00,21272.0,21272.0,21272.0,131.0,-50.0,160.0
2024-09-06,21225.0,21155.0,70.0,21190.0,True,08:53:00,21228.0,3.0,-219,-73,-73,-73,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:03:00,09:03:00,09:03:00,21155.0,21155.0,21155.0,15.0,-144.0,10.0
2024-09-09,20787.0,20610.0,177.0,20698.5,True,09:01:00,20861.0,74.0,666,222,222,222,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,21083.0,21083.0,21083.0,262.0,-17.0,284.0
2024-09-10,21257.0,21225.0,32.0,21241.0,False,,,,0,0,0,0,no_entry,no_entry,no_entry,,,,,,,0.0,0.0,0.0
2024-09-11,21107.0,21056.0,51.0,21081.5,True,09:46:00,21115.0,8.0,-177,-59,-59,-59,initial_stop_loss,initial_stop_loss,initial_stop_loss,10:02:00,10:02:00,10:02:00,21056.0,21056.0,21056.0,2.0,-76.0,16.0
2024-09-12,21635.0,21564.0,71.0,21599.5,True,09:45:00,21677.0,42.0,78,26,26,26,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,21703.0,21703.0,21703.0,101.0,-51.0,240.0
2024-09-13,21799.0,21717.0,82.0,21758.0,True,13:34:00,21802.0,3.0,39,13,13,13,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,21815.0,21815.0,21815.0,19.0,-4.0,11.0
2024-09-16,21853.0,21810.0,43.0,21831.5,True,12:09:00,21857.0,4.0,-126,-42,-42,-42,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,21815.0,21815.0,21815.0,3.0,-42.0,96.0
2024-09-18,21758.0,21718.0,40.0,21738.0,True,08:53:00,21762.0,4.0,-132,-44,-44,-44,initial_stop_loss,initial_stop_loss,initial_stop_loss,11:58:00,11:58:00,11:58:00,21718.0,21718.0,21718.0,94.0,-49.0,185.0
2024-09-19,21796.0,21752.0,44.0,21774.0,True,10:02:00,21807.0,11.0,804,268,268,268,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,22075.0,22075.0,22075.0,273.0,-31.0,223.0
2024-09-20,22353.0,22303.0,50.0,22328.0,True,08:49:00,22362.0,9.0,-177,-59,-59,-59,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:57:00,09:57:00,09:57:00,22303.0,22303.0,22303.0,56.0,-63.0,68.0
2024-09-23,22316.0,22273.0,43.0,22294.5,True,08:49:00,22323.0,7.0,-150,-50,-50,-50,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:09:00,09:09:00,09:09:00,22273.0,22273.0,22273.0,5.0,-51.0,20.0
2024-09-24,22318.0,22278.0,40.0,22298.0,True,09:12:00,22327.0,9.0,-147,-49,-49,-49,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:31:00,09:31:00,09:31:00,22278.0,22278.0,22278.0,24.0,-52.0,19.0
2024-09-25,22836.0,22805.0,31.0,22820.5,True,09:41:00,22842.0,6.0,-111,-37,-37,-37,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:46:00,09:46:00,09:46:00,22805.0,22805.0,22805.0,1.0,-43.0,5.0
2024-09-26,23052.0,23010.0,42.0,23031.0,True,10:02:00,23068.0,16.0,-174,-58,-58,-58,initial_stop_loss,initial_stop_loss,initial_stop_loss,10:38:00,10:38:00,10:38:00,23010.0,23010.0,23010.0,0.0,-64.0,36.0
2024-09-27,23192.0,23140.0,52.0,23166.0,False,,,,0,0,0,0,no_entry,no_entry,no_entry,,,,,,,0.0,0.0,0.0
2024-09-30,22698.0,22654.0,44.0,22676.0,True,08:48:00,22702.0,4.0,-144,-48,-48,-48,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:48:00,09:48:00,09:48:00,22654.0,22654.0,22654.0,46.0,-63.0,60.0
2024-10-01,22304.0,22239.0,65.0,22271.5,True,08:49:00,22340.0,36.0,153,51,51,51,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,22391.0,22391.0,22391.0,120.0,-12.0,296.0
2024-10-04,22372.0,22292.0,80.0,22332.0,True,08:53:00,22394.0,22.0,-306,-102,-102,-102,initial_stop_loss,initial_stop_loss,initial_stop_loss,12:50:00,12:50:00,12:50:00,22292.0,22292.0,22292.0,104.0,-119.0,237.0
2024-10-07,22586.0,22560.0,26.0,22573.0,True,09:03:00,22595.0,9.0,516,172,172,172,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,22767.0,22767.0,22767.0,200.0,-3.0,282.0
2024-10-08,22618.0,22583.0,35.0,22600.5,True,12:56:00,22621.0,3.0,-114,-38,-38,-38,initial_stop_loss,initial_stop_loss,initial_stop_loss,13:23:00,13:23:00,13:23:00,22583.0,22583.0,22583.0,8.0,-61.0,27.0
2024-10-09,22785.0,22763.0,22.0,22774.0,True,08:52:00,22800.0,15.0,-111,-37,-37,-37,initial_stop_loss,initial_stop_loss,initial_stop_loss,10:04:00,10:04:00,10:04:00,22763.0,22763.0,22763.0,70.0,-43.0,72.0
2024-10-11,22845.0,22819.0,26.0,22832.0,True,08:50:00,22849.0,4.0,-90,-30,-30,-30,initial_stop_loss,initial_stop_loss,initial_stop_loss,08:58:00,08:58:00,08:58:00,22819.0,22819.0,22819.0,0.0,-39.0,8.0
2024-10-14,23006.0,22971.0,35.0,22988.5,True,08:48:00,23012.0,6.0,-123,-41,-41,-41,initial_stop_loss,initial_stop_loss,initial_stop_loss,08:58:00,08:58:00,08:58:00,22971.0,22971.0,22971.0,0.0,-57.0,10.0
2024-10-15,23168.0,23113.0,55.0,23140.5,True,09:20:00,23172.0,4.0,168,56,56,56,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,23228.0,23228.0,23228.0,211.0,-6.0,265.0
2024-10-16,22900.0,22868.0,32.0,22884.0,True,09:02:00,22911.0,11.0,225,75,75,75,eod_close,eod_close,eod_close,13:30:00,13:30:00,13:30:00,22986.0,22986.0,22986.0,289.0,-34.0,268.0
2024-10-17,23174.0,23135.0,39.0,23154.5,True,11:40:00,23182.0,8.0,222,74,74,74,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,23256.0,23256.0,23256.0,90.0,-34.0,125.0
2024-10-18,23842.0,23795.0,47.0,23818.5,False,,,,0,0,0,0,no_entry,no_entry,no_entry,,,,,,,0.0,0.0,0.0
2024-10-21,23837.0,23775.0,62.0,23806.0,False,,,,0,0,0,0,no_entry,no_entry,no_entry,,,,,,,0.0,0.0,0.0
2024-10-22,23567.0,23511.0,56.0,23539.0,True,13:30:00,23572.0,5.0,147,49,49,49,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,23621.0,23621.0,23621.0,60.0,0.0,15.0
2024-10-24,23391.0,23324.0,67.0,23357.5,True,08:59:00,23400.0,9.0,-228,-76,-76,-76,initial_stop_loss,initial_stop_loss,initial_stop_loss,10:04:00,10:04:00,10:04:00,23324.0,23324.0,23324.0,44.0,-112.0,65.0
2024-10-25,23307.0,23258.0,49.0,23282.5,True,09:00:00,23318.0,11.0,474,158,158,158,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,23476.0,23476.0,23476.0,158.0,-25.0,285.0
2024-10-28,23660.0,23628.0,32.0,23644.0,False,,,,0,0,0,0,no_entry,no_entry,no_entry,,,,,,,0.0,0.0,0.0
2024-10-30,23102.0,23064.0,38.0,23083.0,True,08:50:00,23106.0,4.0,-126,-42,-42,-42,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:05:00,09:05:00,09:05:00,23064.0,23064.0,23064.0,16.0,-72.0,15.0
2024-11-01,22407.0,22345.0,62.0,22376.0,True,09:05:00,22413.0,6.0,1131,377,377,377,eod_close,eod_close,eod_close,13:44:00,13:44:00,13:44:00,22790.0,22790.0,22790.0,406.0,-13.0,279.0
2024-11-06,23273.0,23116.0,157.0,23194.5,True,10:41:00,23311.0,38.0,24,8,8,8,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,23319.0,23319.0,23319.0,127.0,-105.0,184.0
2024-11-07,23191.0,23124.0,67.0,23157.5,True,09:03:00,23207.0,16.0,954,318,318,318,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,23525.0,23525.0,23525.0,363.0,0.0,282.0
2024-11-08,23793.0,23746.0,47.0,23769.5,True,08:48:00,23794.0,1.0,-144,-48,-48,-48,initial_stop_loss,initial_stop_loss,initial_stop_loss,08:52:00,08:52:00,08:52:00,23746.0,23746.0,23746.0,0.0,-63.0,4.0
2024-11-11,23585.0,23537.0,48.0,23561.0,True,08:49:00,23605.0,20.0,-204,-68,-68,-68,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:05:00,09:05:00,09:05:00,23537.0,23537.0,23537.0,4.0,-107.0,16.0
2024-11-12,23062.0,22985.0,77.0,23023.5,True,08:49:00,23068.0,6.0,-249,-83,-83,-83,initial_stop_loss,initial_stop_loss,initial_stop_loss,13:24:00,13:24:00,13:24:00,22985.0,22985.0,22985.0,161.0,-88.0,275.0
2024-11-14,22846.0,22773.0,73.0,22809.5,True,09:01:00,22872.0,26.0,-297,-99,-99,-99,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:22:00,09:22:00,09:22:00,22773.0,22773.0,22773.0,0.0,-121.0,21.0
2024-11-15,22738.0,22683.0,55.0,22710.5,True,08:48:00,22743.0,5.0,57,19,19,19,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,22762.0,22762.0,22762.0,174.0,-46.0,297.0
2024-11-18,22676.0,22615.0,61.0,22645.5,True,08:49:00,22685.0,9.0,-210,-70,-70,-70,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:44:00,09:44:00,09:44:00,22615.0,22615.0,22615.0,89.0,-91.0,55.0
